country,year,continent,life_expectancy,population,co2_emissions,electric_power_consumption,forest_area,individuals_using_the_internet,military_expenditure,people_practicing_open_defecation,people_using_at_least_basic_drinking_water_services,beer_consumption_per_capita
Nepal,2007,Asia,66.26,26382586,0.101961197,83.82346403,41.21136379,1.41,1.547393889,47.63919675,83.80680575,0.07643
Nepal,2008,Asia,66.727,26666581,0.112125361,87.63356253,41.33781653,1.73,1.599971653,44.6329031,84.33058674,0.08337
Nepal,2009,Asia,67.178,26883531,0.144326283,83.47526816,41.46426927,1.97,1.6454486,41.64111273,84.84775994,0.09427
Nepal,2010,Asia,67.611,27013207,0.171767827,96.93667101,41.59072201,7.93,1.563666433,38.66420083,85.35823515,0.1
Nepal,2011,Asia,68.028,27041220,0.192299009,102.5424342,41.59072201,9,1.540651621,35.70224986,85.86199121,0.12
Nepal,2012,Asia,68.426,26989160,0.222311476,115.8231766,41.59072201,11.1493,1.431832398,32.75462504,86.35911922,0.13
Nepal,2013,Asia,68.806,26916795,0.226252797,120.9003911,41.59072201,13.3,1.541860106,29.82281853,86.84929516,0.16
Nepal,2014,Asia,69.168,26905982,0.264996837,136.6433114,41.59072201,15.44,1.629341062,26.90669333,87.33249847,0.18
Nepal,2015,Asia,69.515,27015033,0.266148113,146.4730037,41.59072201,17.58161801,1.556630126,24.00739,87.80846759,0.19
Nepal,2016,Asia,68.776,27861186,0.385328177,,41.59072201,20.7,1.469374613,21.12517221,88.79020539,0.21
Nepal,2017,Asia,68.91,28183426,0.470677341,,41.59072201,24.3,1.484977185,18.26093423,89.29699309,0.22
Nepal,2018,Asia,68.979,28506712,0.531081943,,41.59072201,28.6,1.349982193,15.41523286,89.79577585,0.22
Nepal,2019,Asia,69.558,28832496,0.480724943,,41.59072201,34.80551799,1.235811353,12.58891555,90.28636635,0.22
Nepal,2020,Asia,69.246,29348627,0.509366247,,41.59072201,45.84615896,1.323384465,9.782587708,90.76858353,
Netherlands,2000,Europe,77.98780488,15925513,10.178636,6349.319584,10.64869668,43.98435137,1.434004341,0,100.0000015,5.07775
Netherlands,2001,Europe,78.1902439,16046180,10.41493988,6507.105925,10.69010664,49.37306211,1.437906869,0,100,4.94045
